pros,cons,temp_full,lang,pros_clean,cons_clean
Buen sueldo acorde a la posicion,Clientes maleducados que siempre quieren todo,Buen sueldo acorde a la posicion Clientes maleducados que siempre quieren todo,es,sueldo acorde posicion,cliente maleducado querer
"buen ambiente laboral, trabajo no tan pesado",caminas demasiado cuando haces las ordenes,"buen ambiente laboral, trabajo no tan pesado caminas demasiado cuando haces las ordenes",es,ambiente laboral trabajo pesado,caminar orden
"Horario flexible, experiencia ñ, ubicación cerca","Sueldo variado, poca capacitación, deficiencia en liderazgo","Horario flexible, experiencia ñ, ubicación cerca Sueldo variado, poca capacitación, deficiencia en liderazgo",es,horario flexible experiencia ñ ubicación cerca,sueldo variado capacitación deficiencio liderazgo
Prestaciones Sueldo Ambiente laboral Crecimiento,"Muchos trabajo , muchas horas trabajadas y nada mas","Prestaciones Sueldo Ambiente laboral Crecimiento Muchos trabajo , muchas horas trabajadas y nada mas",es,prestación sueldo ambiente laboral crecimiento,trabajo   hora trabajado
es un ambiente grato para trabajar,la carga laboral no es balanceada,es un ambiente grato para trabajar la carga laboral no es balanceada,es,ambiente grato trabajar,carga laboral balanceado
Descuentos a empleados n a,No aplica non ning una,Descuentos a empleados n a No aplica non ning una,es,descuento empleado n,aplicar non ning
Buen ambiente laboral y trato,Pocaa horas de trabajo y cambios de horarios,Buen ambiente laboral y trato Pocaa horas de trabajo y cambios de horarios,es,ambiente laboral trato,pocaa hora trabajo cambio horario
Descuento para todos los empleados,No hay ninguna desventaja que conozca,Descuento para todos los empleados No hay ninguna desventaja que conozca,es,descuento empleado,desventaja conocer
"Horario
Sueldo 
Dinámico
Buen ambiente de trabajo","Distancia poco aerosoles 
Pago
Horas
Transporte 
Comida","Horario
Sueldo 
Dinámico
Buen ambiente de trabajo Distancia poco aerosoles 
Pago
Horas
Transporte 
Comida",es,"horario 
 sueldo 
 dinámico 
 ambiente trabajo","distancia aerosol 
 pago 
 hora 
 transporte 
 comida"
"Aprendes rapido, explican muy bien, te da una intro muy buena a la robotica",Necesitas paciencia esperando las tareas que te tocan,"Aprendes rapido, explican muy bien, te da una intro muy buena a la robotica Necesitas paciencia esperando las tareas que te tocan",es,aprend rapido explicar intro robotica,necesita pacienciar esperar tarea tocar
"Horarios flexibles, ambiente laboral pacifico",No tengo ninguna desventaja por los momentos,"Horarios flexibles, ambiente laboral pacifico No tengo ninguna desventaja por los momentos",es,horario flexible ambiente laboral pacifico,desventaja momento
"Bonus y descuentos, conocer todos los productos que ofrece","Horas extra, gente muy complicada","Bonus y descuentos, conocer todos los productos que ofrece Horas extra, gente muy complicada",es,bonu descuento producto ofrecer,hora extra gente complicado
es bueno trabajar ahi en target,no hay ningun tipo de reclamaciones dentro de la empresa,es bueno trabajar ahi en target no hay ningun tipo de reclamaciones dentro de la empresa,es,trabajar target,ningun tipo reclamación empresa
Buen pago porque te dan viaticos.,Horas muy largas durante periodos pico.,Buen pago porque te dan viaticos. Horas muy largas durante periodos pico.,es,pago viatico,hora larga periodo pico
Muy buenos preciosMe gusta trabajar la Target,A veces no hay muchas horas para trabajar,Muy buenos preciosMe gusta trabajar la Target A veces no hay muchas horas para trabajar,es,preciosme gustar trabajar target,hora trabajar
"prestaciones, sueldo, Oportunidades de crecimiento,Dinámico ,Inclusivos.","Trabajo bajo presión, tiempos de entregas.","prestaciones, sueldo, Oportunidades de crecimiento,Dinámico ,Inclusivos. Trabajo bajo presión, tiempos de entregas.",es,prestación sueldo oportunidad crecimientodinámico inclusivo,trabajo presión tiempo entrega
Buen ambiente laboral para todos,Mucho trabajo en días festivos,Buen ambiente laboral para todos Mucho trabajo en días festivos,es,ambiente laboral,trabajo festivo
"Crecimiento 
Ambiente laboral bueno 
Buen horario",No encuentro ninguna desventaja aquí,"Crecimiento 
Ambiente laboral bueno 
Buen horario No encuentro ninguna desventaja aquí",es,"crecimiento 
 ambiente laboral 
 horario",encontrar desventaja
-Es un buen lugar para trabajar,"No hay desventajas, estuve muy poco tiempo","-Es un buen lugar para trabajar No hay desventajas, estuve muy poco tiempo",es,lugar trabajar,desventaja estar tiempo
