pros,cons,idioma,pred_logReg,pred_PyS_VAD
Buen sueldo acorde a la posicion,Clientes maleducados que siempre quieren todo,ES,1,1
"buen ambiente laboral, trabajo no tan pesado",caminas demasiado cuando haces las ordenes,ES,1,1
"Horario flexible, experiencia ñ, ubicación cerca","Sueldo variado, poca capacitación, deficiencia en liderazgo",ES,1,1
Prestaciones Sueldo Ambiente laboral Crecimiento,"Muchos trabajo , muchas horas trabajadas y nada mas",ES,1,1
es un ambiente grato para trabajar,la carga laboral no es balanceada,ES,0,1
Descuentos a empleados n a,No aplica non ning una,ES,1,0
Buen ambiente laboral y trato,Pocaa horas de trabajo y cambios de horarios,ES,1,1
Descuento para todos los empleados,No hay ninguna desventaja que conozca,ES,1,1
"Horario
Sueldo 
Dinámico
Buen ambiente de trabajo","Distancia poco aerosoles 
Pago
Horas
Transporte 
Comida",ES,0,1
"Aprendes rapido, explican muy bien, te da una intro muy buena a la robotica",Necesitas paciencia esperando las tareas que te tocan,ES,0,1
"Horarios flexibles, ambiente laboral pacifico",No tengo ninguna desventaja por los momentos,ES,1,1
"Bonus y descuentos, conocer todos los productos que ofrece","Horas extra, gente muy complicada",ES,1,1
es bueno trabajar ahi en target,no hay ningun tipo de reclamaciones dentro de la empresa,ES,0,1
Buen pago porque te dan viaticos.,Horas muy largas durante periodos pico.,ES,0,1
Muy buenos preciosMe gusta trabajar la Target,A veces no hay muchas horas para trabajar,ES,1,1
"prestaciones, sueldo, Oportunidades de crecimiento,Dinámico ,Inclusivos.","Trabajo bajo presión, tiempos de entregas.",ES,1,1
Buen ambiente laboral para todos,Mucho trabajo en días festivos,ES,1,1
"Crecimiento 
Ambiente laboral bueno 
Buen horario",No encuentro ninguna desventaja aquí,ES,1,1
-Es un buen lugar para trabajar,"No hay desventajas, estuve muy poco tiempo",ES,1,1
Scheduling and time off is decently ok.,Sometimes you will be working by yourself with no self check-out,EN,1,1
helps develop communication and customer service,standing for long periods of time,EN,0,1
Good hours and good coworkers,Have to sell credit cards for each shift,EN,1,1
"Good hourly pay, lots of natural light in the store.",Standing for long periods of time and be hard on your back.,EN,1,1
Work life balance Company culture Benefits,Salary Package Growth opportunities N/A,EN,1,1
It was an easy way to make extra money,You have no free time,EN,1,1
